operation_id,path,method,tag,module,base_api,adapter,provider
getVersionedHealth,/v1/health,GET,System,system,BaseSystemApi,SystemAdapter,provide_system_adapter
getHealthDetails,/v1/health/details,GET,System,system,BaseSystemApi,SystemAdapter,provide_system_adapter
getHealth,/health,GET,System,system,BaseSystemApi,SystemAdapter,provide_system_adapter
listSupportedFileTypes,/v1/files/types,GET,Files,files,BaseFilesApi,FilesAdapter,provide_files_adapter
uploadFile,/v1/files,POST,Files,files,BaseFilesApi,FilesAdapter,provide_files_adapter
listFiles,/v1/files,GET,Files,files,BaseFilesApi,FilesAdapter,provide_files_adapter
listFileExtractions,/v1/files/{file_id}/extractions,GET,Extractions,extractions,BaseExtractionsApi,ExtractionsAdapter,provide_extractions_adapter
getFile,/v1/files/{file_id},GET,Files,files,BaseFilesApi,FilesAdapter,provide_files_adapter
deleteFile,/v1/files/{file_id},DELETE,Files,files,BaseFilesApi,FilesAdapter,provide_files_adapter
downloadFile,/v1/files/{file_id}/download,GET,Files,files,BaseFilesApi,FilesAdapter,provide_files_adapter
createExtraction,/v1/extractions,POST,Extractions,extractions,BaseExtractionsApi,ExtractionsAdapter,provide_extractions_adapter
getExtraction,/v1/extractions/{extraction_id},GET,Extractions,extractions,BaseExtractionsApi,ExtractionsAdapter,provide_extractions_adapter
createKnowledgeBase,/v1/knowledge-bases,POST,Knowledge Bases,knowledge_bases,BaseKnowledgeBasesApi,KnowledgeBasesAdapter,provide_knowledge_bases_adapter
listKnowledgeBases,/v1/knowledge-bases,GET,Knowledge Bases,knowledge_bases,BaseKnowledgeBasesApi,KnowledgeBasesAdapter,provide_knowledge_bases_adapter
getKnowledgeBase,/v1/knowledge-bases/{kb_id},GET,Knowledge Bases,knowledge_bases,BaseKnowledgeBasesApi,KnowledgeBasesAdapter,provide_knowledge_bases_adapter
updateKnowledgeBase,/v1/knowledge-bases/{kb_id},PATCH,Knowledge Bases,knowledge_bases,BaseKnowledgeBasesApi,KnowledgeBasesAdapter,provide_knowledge_bases_adapter
deleteKnowledgeBase,/v1/knowledge-bases/{kb_id},DELETE,Knowledge Bases,knowledge_bases,BaseKnowledgeBasesApi,KnowledgeBasesAdapter,provide_knowledge_bases_adapter
createDocument,/v1/knowledge-bases/{kb_id}/documents,POST,Documents,documents,BaseDocumentsApi,DocumentsAdapter,provide_documents_adapter
listDocuments,/v1/knowledge-bases/{kb_id}/documents,GET,Documents,documents,BaseDocumentsApi,DocumentsAdapter,provide_documents_adapter
getDocument,/v1/knowledge-bases/{kb_id}/documents/{document_id},GET,Documents,documents,BaseDocumentsApi,DocumentsAdapter,provide_documents_adapter
deleteDocument,/v1/knowledge-bases/{kb_id}/documents/{document_id},DELETE,Documents,documents,BaseDocumentsApi,DocumentsAdapter,provide_documents_adapter
searchKnowledgeBase,/v1/knowledge-bases/{kb_id}/search,POST,Search,search,BaseSearchApi,SearchAdapter,provide_search_adapter
hybridSearchKnowledgeBase,/v1/knowledge-bases/{kb_id}/hybrid-search,POST,Search,search,BaseSearchApi,SearchAdapter,provide_search_adapter
createWebhook,/v1/webhooks,POST,Webhooks,webhooks,BaseWebhooksApi,WebhooksAdapter,provide_webhooks_adapter
listWebhooks,/v1/webhooks,GET,Webhooks,webhooks,BaseWebhooksApi,WebhooksAdapter,provide_webhooks_adapter
getWebhook,/v1/webhooks/{webhook_id},GET,Webhooks,webhooks,BaseWebhooksApi,WebhooksAdapter,provide_webhooks_adapter
updateWebhook,/v1/webhooks/{webhook_id},PATCH,Webhooks,webhooks,BaseWebhooksApi,WebhooksAdapter,provide_webhooks_adapter
deleteWebhook,/v1/webhooks/{webhook_id},DELETE,Webhooks,webhooks,BaseWebhooksApi,WebhooksAdapter,provide_webhooks_adapter
createApiKey,/v1/api-keys,POST,API Keys,api_keys,BaseAPIKeysApi,APIKeysAdapter,provide_api_keys_adapter
listApiKeys,/v1/api-keys,GET,API Keys,api_keys,BaseAPIKeysApi,APIKeysAdapter,provide_api_keys_adapter
revokeApiKey,/v1/api-keys/{key_id},DELETE,API Keys,api_keys,BaseAPIKeysApi,APIKeysAdapter,provide_api_keys_adapter
getUsageStats,/v1/usage/stats,GET,Usage,usage,BaseUsageApi,UsageAdapter,provide_usage_adapter
getUsageLimits,/v1/usage/limits,GET,Usage,usage,BaseUsageApi,UsageAdapter,provide_usage_adapter
